CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Purchase_Frequency
1,Male,19,15,39,5
2,Male,21,15,81,12
3,Female,20,16,6,2
4,Female,23,16,77,15
5,Female,31,17,40,6
6,Female,22,17,76,14
7,Female,35,18,6,3
8,Female,23,18,94,18
9,Male,64,19,3,1
10,Female,30,19,72,13
11,Male,67,19,14,4
12,Female,35,19,99,20
13,Female,58,20,15,3
14,Female,24,20,77,16
15,Male,37,20,13,2
16,Male,22,20,79,15
17,Female,35,21,35,7
18,Male,20,21,66,12
19,Male,52,23,29,5
20,Female,35,23,98,19
21,Male,35,24,35,6
22,Male,25,24,73,14
23,Female,46,25,5,1
24,Male,31,25,73,15
25,Female,54,28,14,3
26,Male,29,28,82,16
27,Female,45,28,32,7
28,Male,35,28,61,11
29,Female,40,29,31,6
30,Female,23,29,87,17
31,Male,60,30,4,1
32,Female,21,30,73,15
33,Male,53,33,4,1
34,Male,18,33,92,18
35,Female,49,33,14,3
36,Female,21,33,81,16
37,Female,42,34,17,4
38,Female,30,34,73,14
39,Female,36,37,26,5
40,Female,20,37,75,15
41,Female,65,38,35,7
42,Male,24,38,92,18
43,Male,48,39,36,7
44,Female,31,39,61,12
45,Female,49,39,28,5
46,Female,24,39,65,13
47,Female,50,40,55,11
48,Female,27,40,47,9
49,Female,29,40,42,8
50,Female,31,40,42,8
51,Female,49,42,52,10
52,Male,33,42,60,12
53,Female,31,43,54,11
54,Male,59,43,60,12
55,Female,50,43,45,9
56,Male,47,43,41,8
57,Female,51,44,50,10
58,Male,69,44,46,9
59,Female,27,46,51,10
60,Male,53,46,46,9
61,Male,70,46,56,11
62,Male,19,46,55,11
63,Female,67,47,52,10
64,Female,54,47,59,12
65,Male,63,48,51,10
66,Male,18,48,59,12
67,Female,43,48,50,10
68,Female,68,48,48,9
69,Male,19,48,59,12
70,Female,32,48,47,9
71,Male,70,49,55,11
72,Female,47,49,42,8
73,Female,60,50,49,10
74,Female,60,50,56,11
75,Male,59,54,47,9
76,Male,26,54,54,11
77,Female,45,54,53,10
78,Male,40,54,48,9
79,Female,23,54,52,10
80,Female,49,54,42,8
81,Male,57,54,51,10
82,Male,38,54,55,11
83,Male,67,54,41,8
84,Female,46,54,44,9
85,Female,21,54,57,11
86,Male,48,54,46,9
87,Female,55,57,58,11
88,Female,22,57,55,11
89,Female,34,58,60,12
90,Female,50,58,46,9
91,Female,68,59,55,11
92,Male,18,59,41,8
93,Male,48,60,49,10
94,Female,40,60,40,8
95,Female,32,60,42,8
96,Male,24,60,52,10
97,Female,47,60,47,9
98,Female,27,60,50,10
99,Male,48,61,42,8
100,Male,20,61,49,10
101,Female,23,62,41,8
102,Female,49,62,48,9
103,Male,67,62,59,12
104,Male,26,62,55,11
105,Male,49,62,56,11
106,Female,21,62,42,8
107,Female,66,63,50,10
108,Male,54,63,46,9
109,Male,68,63,43,8
110,Male,66,63,48,9
111,Male,65,63,52,10
112,Female,19,63,54,11
113,Male,19,64,42,8
114,Male,19,64,46,9
115,Female,18,65,48,10
116,Female,19,65,50,10
117,Female,63,65,43,8
118,Female,49,65,59,12
119,Female,51,67,43,8
120,Female,50,67,57,11
121,Male,27,67,56,11
122,Female,38,67,40,8
123,Female,40,69,58,12
124,Male,39,69,91,18
125,Female,23,70,29,6
126,Female,31,70,77,15
127,Male,43,71,35,7
128,Male,40,71,95,19
129,Male,59,71,11,2
130,Male,38,71,75,15
131,Male,47,71,9,2
132,Male,39,71,75,15
133,Female,25,72,34,7
134,Female,31,72,71,14
135,Male,20,73,5,1
136,Female,29,73,88,18
137,Female,44,73,7,1
138,Male,32,73,73,15
139,Male,19,74,10,2
140,Female,35,74,72,14
141,Female,57,75,5,1
142,Male,32,75,93,19
143,Female,28,76,40,8
144,Female,32,76,87,17
145,Male,25,77,12,2
146,Male,28,77,97,19
147,Male,48,77,36,7
148,Female,32,77,74,15
149,Female,34,78,22,4
150,Male,34,78,90,18
151,Male,43,78,17,3
152,Male,39,78,88,18
153,Female,44,78,20,4
154,Female,38,78,76,15
155,Female,47,78,16,3
156,Female,27,78,89,18
157,Male,37,78,1,1
158,Female,30,78,78,16
159,Male,34,78,1,1
160,Female,30,78,73,15
161,Female,56,79,35,7
162,Female,29,79,83,17
163,Male,19,81,5,1
164,Female,31,81,93,19
165,Male,50,85,26,5
166,Female,36,85,75,15
167,Male,42,86,20,4
168,Female,33,86,95,19
169,Female,36,87,27,5
170,Male,32,87,63,13
171,Male,40,87,13,2
172,Male,28,87,75,15
173,Male,36,87,10,2
174,Male,36,87,92,18
175,Female,52,88,13,2
176,Female,30,88,86,17
177,Male,58,88,15,3
178,Male,27,88,69,14
179,Male,59,93,14,3
180,Male,35,93,90,18
181,Female,37,97,32,6
182,Female,32,97,86,17
183,Male,46,98,15,3
184,Female,29,98,88,18
185,Female,41,99,39,8
186,Male,30,99,97,19
187,Female,54,101,24,5
188,Male,28,101,68,14
189,Female,41,103,17,3
190,Female,36,103,85,17
191,Female,34,103,23,5
192,Female,32,103,69,14
193,Male,33,113,8,2
194,Female,38,113,91,18
195,Female,47,120,16,3
196,Female,35,120,79,16
197,Female,45,126,28,6
198,Male,32,126,74,15
199,Male,32,137,18,4
200,Male,30,137,83,17
